Data	Parallel	Sequence
2_100_10	438	2
2_100_200	1794	1379
2_100_4	536	7
2_100_50	423	12
2_131_4	436	5
2_133_4	521	2
2_156_4	527	2
2_20_10	431	1
2_20_200	1798	1498
2_20_4	405	1
2_20_50	410	7
2_289_50	567	9
2_3_10	202	1
2_3_200	1661	1434
2_3_4	201	1
2_3_50	208	8
2_301_10	569	2
2_366_200	1818	1364
2_375_10	562	3
2_377_10	558	5
2_401_50	577	10
2_409_200	1943	1395
2_432_50	474	9
2_437_200	1887	1454
2_472_200	1787	1320
2_474_10	638	3
2_480_50	505	10
2_603_200	1988	1416
2_607_10	501	2
2_608_50	666	10
2_621_10	633	3
2_621_200	2006	1436
2_624_50	587	9
10_100_10	530	2
10_100_200	29906	49085
10_100_50	665	278
10_1000_200	269128	504663
10_1000_50	2190	2652
10_107_10	524	2
10_136_10	432	3
10_166_10	587	2
10_20_10	414	1
10_20_200	7293	11234
10_20_50	522	67
10_3_10	205	2
10_3_200	2472	2984
10_3_50	213	14
10_500_200	145450	228909
10_500_50	1591	1448
10_800_200	208823	354696
10_800_50	1953	2066
50_100_200	21924	34916
50_100_50	479	76
50_1000_200	202242	378841
50_20_200	5169	7398
50_20_50	416	24
50_3_200	2653	3090
50_3_50	208	15
50_369_50	651	241
50_500_200	108487	179308
50_500_50	818	328
50_518_50	821	321
50_800_200	165542	271842
80_100_200	19631	29063
80_1000_200	166685	305050
80_20_200	5721	8027
80_3_200	2491	2673
80_500_200	94303	148242
80_800_200	139600	222317
100_100_200	15819	23811
100_1000_200	160208	290823
100_20_200	4668	6712
100_3_200	1757	1728
100_500_200	80827	127066
100_800_200	124498	229263
